[UTIL]   running in SA mode (no --phy-test, --do-ra, --nsa option present)
UE f8de: MAC:    TX          11322 RX         116232 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 104, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1021, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          11433 RX         117856 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 106, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1034, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          11655 RX         119364 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 107, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1046, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          11766 RX         120756 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 108, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1060, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          11877 RX         122380 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 109, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1074, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          11988 RX         124004 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 111, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1087, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          12210 RX         125512 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 112, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1101, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          12321 RX         127136 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 113, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1113, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          12432 RX         128528 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 114, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1126, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          12543 RX         130036 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 116, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1140, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          12765 RX         131660 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 117, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1155, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          12876 RX         133284 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 118, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1168, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          12987 RX         134908 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 120, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1180, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          13209 RX         136300 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 121, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1193, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          13320 RX         137808 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 122, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1207, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          13431 RX         139432 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 123, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1221, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          13542 RX         141056 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 125, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1234, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          13764 RX         142564 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 126, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1246, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          13875 RX         143956 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 127, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1260, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          13986 RX         145464 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 129, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1273, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          14208 RX         147088 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 130, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1287, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          14319 RX         148596 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 131, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1300, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          14430 RX         150220 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 132, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1312, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          14541 RX         151612 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 134, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1326, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          14763 RX         153120 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 135, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1341, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          14874 RX         154860 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 136, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1355, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          14985 RX         156600 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 138, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1368, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          15207 RX         158108 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 139, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1381, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          15318 RX         159500 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 140, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1394, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          15429 RX         161124 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 141, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1407, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          15540 RX         162632 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 143, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1420, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          15762 RX         164140 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 144, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1433, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          15873 RX         165648 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 145, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1446, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          15984 RX         167156 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 146, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1459, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          16095 RX         168664 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 148, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1472, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          16317 RX         170172 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 149, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1485, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          16428 RX         171680 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 150, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1498, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          16539 RX         173188 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 152, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1510, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          16761 RX         174580 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 153, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1523, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          16872 RX         176088 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 154, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1536, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          16983 RX         177596 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 155, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1550, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          17094 RX         179104 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 157, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1563, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          17316 RX         180728 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 158, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1575, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          17427 RX         182120 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 159, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1588, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          17538 RX         183628 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 161, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1602, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          17760 RX         185136 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 162, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1616, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          17871 RX         186876 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 163, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1629, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          17982 RX         188384 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 164, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1641, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          18093 RX         189776 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 166, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
